City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,grand rapids,42.9634,-85.6681,290.67,37,40,2.06,US,1684164599
83,lebu,-37.6167,-73.65,288.05,79,96,6.57,CL,1684164599
84,badger,64.8,-147.5333,282.49,61,20,2.06,US,1684164599
85,rio gallegos,-51.6226,-69.2181,288.18,63,20,7.2,AR,1684164138
86,puerto ayora,-0.7393,-90.3518,301.13,86,99,2.68,EC,1684164600
87,new norfolk,-42.7826,147.0587,286.87,71,100,0.89,AU,1684164600
88,coquimbo,-29.9533,-71.3436,289.97,86,95,0.18,CL,1684164435
89,tuba city,36.135,-111.2399,292.74,39,4,2.64,US,1684164601
90,flying fish cove,-10.4217,105.6791,298.97,69,40,4.12,CX,1684164601
91,hamilton,39.1834,-84.5333,289.22,85,100,4.63,US,1684164361
92,cabo san lucas,22.8909,-109.9124,298.49,60,0,1.03,MX,1684164601
93,kapuskasing,49.4169,-82.4331,290.2,34,100,6.69,CA,1684164602
94,rach gia,10.0167,105.0833,302.7,73,6,3.72,VN,1684164602
95,sikonge,-5.6333,32.7667,296.15,57,19,0.61,TZ,1684164602
96,kruisfontein,-34.0033,24.7314,288.09,81,0,0.76,ZA,1684164603
97,polovinnoye,54.7914,65.9864,287.0,63,85,2.7,RU,1684164604
98,talnakh,69.4865,88.3972,270.49,93,100,6.41,RU,1684164606
99,kavaratti,10.5669,72.642,302.77,71,97,4.22,IN,1684164608
100,kristinestad,62.2743,21.376,294.32,53,17,2.77,FI,1684164557
101,manta,-0.95,-80.7333,301.03,74,75,4.12,EC,1684164425
102,ilulissat,69.2167,-51.1,274.16,55,75,3.6,GL,1684164611
103,parauapebas,-6.0675,-49.9022,299.14,88,75,0.0,BR,1684164612
104,northam,51.0333,-4.2167,287.81,69,7,7.72,GB,1684164560
105,klaksvik,62.2266,-6.589,282.66,79,98,9.81,FO,1684164613
106,mount isa,-20.7333,139.5,293.02,56,100,5.66,AU,1684164613
107,raja,8.4596,25.678,308.48,23,91,1.78,SS,1684164613
108,erie,42.7667,-78.6664,290.94,45,0,2.68,US,1684164613
109,chadron,42.8294,-102.9999,284.97,94,40,0.89,US,1684164613
110,mhangura,-16.8939,30.1683,293.68,44,16,2.47,ZW,1684164614
111,mount gambier,-37.8333,140.7667,284.62,91,50,3.38,AU,1684164614
112,port mathurin,-19.6833,63.4167,298.79,76,13,7.29,MU,1684164614
113,sirjan,29.452,55.6814,299.8,4,68,3.85,IR,1684164560
114,sipalay,9.75,122.5,299.58,88,98,1.04,PH,1684164615
115,huancavelica,-12.7667,-74.9833,283.19,44,9,2.96,PE,1684164615
116,rahimatpur,17.6,74.2,301.36,54,11,4.67,IN,1684164615
117,sebdou,34.637,-1.3314,295.76,26,0,8.29,DZ,1684164615
